Drift Differencing,,,,,,,,,,,Length Difference,,,,,,
descA,odoA,eventA,Drift,1st Diff,eventB,odoB,descB,,,,Odo A,Event A,Len A,|ΔLen|,Len B,Event B,Odo B
fitting at 90 deg.,123.31,fitting,-62.16,,fitting,185.47,fitting at 90 deg., ,, ,123.31,fitting,,,,fitting,185.47
,144.23,weld,-62.05,0.11,weld,206.28,, ,, ,144.23,weld,20.92,0.11,20.81,weld,206.28
,189.38,weld,-61.95,0.10,weld,251.33,, ,, ,189.38,weld,45.15,0.10,45.05,weld,251.33
,,,,,agm,282.00,"agm #15, sta. 2315+71, u/s  rt. 857, 4' us casing vent", ,, ,,,,,,agm,282.00
casing begin - sta. 2315+69 - 80.37 ft.,224.41,casing,-62.52,-0.57,casing,286.93,"casing begin - sta. 2315+69, rt. 857 - 78.98 ft.", ,, ,224.41,casing,35.03,-0.57,35.60,casing,286.93
"agm # 130, sta. 2315+65, 38' e of c/l rt. 857 - manually added",228.91,agm,,,,,, ,, ,228.91,agm,,,,,
,234.45,weld,-62.05,0.47,weld,296.50,, ,, ,234.45,weld,45.07,-0.10,45.17,weld,296.50
,279.53,weld,-61.97,0.08,weld,341.50,, ,, ,279.53,weld,45.08,0.08,45.00,weld,341.50
casing end - sta. 2314+88,304.78,casing,-61.14,0.83,casing,365.92,"casing end - sta. 2314+88, sw rt. 857", ,, ,304.78,casing,80.37,1.38,78.99,casing,365.92
,324.62,weld,-61.91,-0.77,weld,386.53,, ,, ,324.62,weld,45.09,0.06,45.03,weld,386.53
⋮,⋮,⋮,⋮,⋮,⋮,⋮,⋮,,,,⋮,⋮,⋮,⋮,⋮,⋮,⋮
,"5,141.97",weld,-57.89,,weld,"5,199.86",, ,, ,"5,141.97",weld,,,,weld,"5,199.86"
bend left,"5,177.37",bend,-58.48,-0.59,bend,"5,235.85",bend left, ,, ,"5,177.37",bend,35.40,-0.59,35.99,bend,"5,235.85"
,"5,187.24",weld,-57.77,0.71,weld,"5,245.01",, ,, ,"5,187.24",weld,45.27,0.12,45.15,weld,"5,245.01"
,"5,232.59",weld,-57.61,0.16,weld,"5,290.20",, ,, ,"5,232.59",weld,45.35,0.16,45.19,weld,"5,290.20"
,"5,277.84",weld,-57.55,0.06,weld,"5,335.39",, ,, ,"5,277.84",weld,45.25,0.06,45.19,weld,"5,335.39"
,"5,322.99",weld,-57.53,0.02,weld,"5,380.52",, ,, ,"5,322.99",weld,45.15,0.02,45.13,weld,"5,380.52"
,"5,368.30",weld,-57.40,0.13,weld,"5,425.70",, ,, ,"5,368.30",weld,45.31,0.13,45.18,weld,"5,425.70"
,"5,413.55",weld,-57.35,0.05,weld,"5,470.90",, ,, ,"5,413.55",weld,45.25,0.05,45.20,weld,"5,470.90"
,"5,458.75",weld,-57.36,-0.01,weld,"5,516.11",, ,, ,"5,458.75",weld,45.20,-0.01,45.21,weld,"5,516.11"
,"5,503.99",weld,-57.31,0.05,weld,"5,561.30",, ,, ,"5,503.99",weld,45.24,0.05,45.19,weld,"5,561.30"
,"5,549.40",weld,-57.12,0.19,weld,"5,606.52",, ,, ,"5,549.40",weld,45.41,0.19,45.22,weld,"5,606.52"
,"5,594.59",weld,-57.05,0.07,weld,"5,651.64",, ,, ,"5,594.59",weld,45.19,0.07,45.12,weld,"5,651.64"
